English,Turkish,Level,Status,Review_Count
Text,Metin,A1,New,0
Tradition,Gelenek,B1,New,0
Transfer,Transfer etmek / Aktarmak,B1,New,0
play,oynamak,A1,New,0
Abandon,Terk etmek / Vazgeçmek,B2,New,0
Abstract,Soyut / Özet,B2,New,0
Accumulate,Biriktirmek / Yığmak,C1,New,0
Accurate,Doğru / Kesin,B2,New,0
Acknowledge,Kabul etmek / Onaylamak,B2,New,0
Adapt,Uyum sağlamak,B2,New,0
Adjacent,Bitişik / Yan yana,C1,New,0
Adjust,Ayarlamak / Düzeltmek,B2,New,0
Administration,Yönetim / İdare,B2,New,0
Advocate,Savunmak / Desteklemek,C1,New,0
Affect,Etkilemek,B2,New,0
Aggregate,Toplam / Bir araya getirmek,C1,New,0
Aid,Yardım etmek,B2,New,0
Alleviate,Hafifletmek / Azaltmak,C1,New,0
Allocate,Tahsis etmek / Ayırmak,C1,New,0
Alter,Değiştirmek,B2,New,0
Ambiguous,Muğlak / Belirsiz,C1,New,0
Amend,Değiştirmek (yasa vb.),C1,New,0
Analogy,Analoji / Benzerlik,B2,New,0
Annual,Yıllık,B2,New,0
Anticipate,Ummak / Beklemek,B2,New,0
Apparent,Aşikar / Belirgin,B2,New,0
Append,Eklemek / İliştirmek,C1,New,0
Appreciate,Takdir etmek / Değeri artmak,B2,New,0
Appropriate,Uygun,B2,New,0
Approximate,Yaklaşık,B2,New,0
Arbitrary,Keyfi / Rastgele,C1,New,0
Aspect,Yön / Bakış açısı,B2,New,0
Assemble,Birleştirmek / Toplanmak,B2,New,0
Assign,Atamak / Görevlendirmek,B2,New,0
Assist,Yardım etmek,B2,New,0
Assure,Garanti etmek / İkna etmek,B2,New,0
Attach,Eklemek / Bağlamak,B2,New,0
Attain,Elde etmek / Ulaşmak,C1,New,0
Attitude,Tutum / Tavır,B1,New,0
Attribute,Atfetmek / Bağlamak,B2,New,0
Author,Yazar,B1,New,0
Authority,Otorite / Yetki,B2,New,0
Automate,Otomatikleştirmek,B2,New,0
Available,Mevcut,A2,New,0
Aware,Farkında,B1,New,0
Behalf,Adına / Namına,C1,New,0
Bias,Önyargı,B2,New,0
Bond,Bağ / Bono,B2,New,0
Brief,Kısa / Öz,B2,New,0
Bulk,Büyük kısım / Hacim,C1,New,0
Capable,Yetenekli / Kapasiteli,B2,New,0
Capacity,Kapasite,B2,New,0
Category,Kategori,B2,New,0
Cease,Durdurmak / Sona ermek,C1,New,0
Channel,Kanal,B2,New,0
Chapter,Bölüm,B1,New,0
Chart,Grafik / Çizelge,B1,New,0
Chemical,Kimyasal,B2,New,0
Cite,Alıntı yapmak / Bahsetmek,B2,New,0
Civil,Sivil / Medeni,B2,New,0
Classic,Klasik,B2,New,0
Clause,Madde (hukuk) / Cümlecik,C1,New,0
Code,Kod / Kanun,B1,New,0
Coincide,Çakışmak / Denk gelmek,C1,New,0
Collapse,Çökmek,B2,New,0
Colleague,Meslektaş,A2,New,0
Commence,Başlamak (resmi),C1,New,0
Comment,Yorum,A2,New,0
Commission,Komisyon / Görev,B2,New,0
Commit,Adamak / İşlemek (suç),B2,New,0
Commodity,Ticari mal / Emtia,C1,New,0
Communicate,İletişim kurmak,A2,New,0
Community,Topluluk,B1,New,0
Compatible,Uyumlu,C1,New,0
Compensate,Telafi etmek,C1,New,0
Compile,Derlemek / Toplamak,C1,New,0
Complement,Tamamlamak,C1,New,0
Complex,Karmaşık,B2,New,0
Compound,Bileşik,B2,New,0
Comprise,Oluşmak / İçermek,C1,New,0
Compute,Hesaplamak,B2,New,0
Conceive,Tasarlamak / Algılamak,C1,New,0
Concentrate,Odaklanmak,B2,New,0
Concept,Kavram,B2,New,0
Concurrent,Eşzamanlı,C1,New,0
Confer,Görüşmek / Danışmak,C1,New,0
Confine,Sınırlamak / Hapsetmek,C1,New,0
Confirm,Onaylamak,B2,New,0
Conflict,Çatışma,B2,New,0
Conform,Uymak (kurala),C1,New,0
Consent,Rıza / Onay,C1,New,0
Consequent,Sonuç olarak,B2,New,0
Considerable,Önemli ölçüde,B2,New,0
Consist,Oluşmak,B2,New,0
Constant,Sürekli / Sabit,B2,New,0
Constrain,Kısıtlamak / Zorlamak,C1,New,0
Construct,İnşa etmek,B2,New,0
Consult,Danışmak,B2,New,0
Consume,Tüketmek,B2,New,0
Contact,İletişim / Temas,B1,New,0
Contemporary,Çağdaş / Modern,B2,New,0
Contract,Sözleşme / Küçülmek,B2,New,0
Contradict,Çelişmek,C1,New,0
Contrary,Aksine / Zıt,B2,New,0
Controversy,Tartışma / İhtilaf,C1,New,0
Convene,Toplanmak / Bir araya gelmek,C1,New,0
Converse,Konuşmak / Zıt,C1,New,0
Convert,Dönüştürmek,B2,New,0
Convince,İkna etmek,B2,New,0
Cooperate,İşbirliği yapmak,B2,New,0
Coordinate,Koordine etmek,B2,New,0
Core,Çekirdek / Öz,B2,New,0
Corporate,Kurumsal,B2,New,0
Correspond,Karşılık gelmek / Yazışmak,B2,New,0
Couple,Çift / Birkaç,A2,New,0
Create,Yaratmak,A2,New,0
Credit,Kredi / İtibar,B2,New,0
Culture,Kültür,A2,New,0
Currency,Para birimi,B2,New,0
Cycle,Döngü,B2,New,0
Decade,On yıl,B2,New,0
Deduce,Sonuç çıkarmak,C1,New,0
Definite,Kesin,B2,New,0
Denote,İfade etmek / Göstermek,C1,New,0
Deny,İnkar etmek / Reddetmek,B2,New,0
Depress,Bastırmak / Üzmek,B2,New,0
Design,Tasarım,A2,New,0
Detect,Tespit etmek,B2,New,0
Deviate,Sapmak (yoldan/konudan),C1,New,0
Device,Cihaz,B2,New,0
Devote,Adamak,B2,New,0
Differentiate,Ayırt etmek,C1,New,0
Dimension,Boyut,B2,New,0
Diminish,Azalmak / Eksiltmek,C1,New,0
Discrete,Ayrık / Farklı,C1,New,0
Discriminate,Ayrımcılık yapmak,C1,New,0
Displace,Yerinden etmek,C1,New,0
Display,Sergilemek,B2,New,0
Dispose,Elden çıkarmak / Atmak,C1,New,0
Distort,Saptırmak / Çarpıtmak,C1,New,0
Distribute,Dağıtmak,B2,New,0
Document,Belge,B1,New,0
Domain,Alan / Etki alanı,C1,New,0
Domestic,Yerli / Evcil,B2,New,0
Draft,Taslak,B2,New,0
Drama,Drama,A2,New,0
Duration,Süre,B2,New,0
Dynamic,Dinamik,B2,New,0
Economy,Ekonomi,B1,New,0
Edit,Düzenlemek,B1,New,0
Eliminate,Elemek / Ortadan kaldırmak,B2,New,0
Emerge,Ortaya çıkmak,B2,New,0
Empirical,Deneysel,C1,New,0
Enable,Olanak sağlamak,B2,New,0
Encounter,Karşılaşmak,B2,New,0
Energy,Enerji,A2,New,0
Enforce,Zorlamak / Uygulamak (yasa),C1,New,0
Entity,Varlık / Birim,C1,New,0
Equate,Eşitlemek,C1,New,0
Equip,Donatmak,B2,New,0
Equivalent,Eşdeğer,B2,New,0
Erode,Aşınmak / Tüketmek,C1,New,0
Error,Hata,A2,New,0
Estate,Mülk / Arazi,B2,New,0
Ethic,Etik,B2,New,0
Eventual,Nihai / Sonunda olan,B2,New,0
Evident,Belirgin / Açık,B2,New,0
Evolve,Evrim geçirmek / Gelişmek,B2,New,0
Examine,İncelemek,B2,New,0
Expand,Genişlemek,B2,New,0
Expert,Uzman,B1,New,0
Exploit,Sömürmek / Faydalanmak,C1,New,0
Export,İhraç etmek,B1,New,0
Expose,Maruz bırakmak,B2,New,0
External,Harici,B2,New,0
Extract,Çıkarmak / Özüt,C1,New,0
Federal,Federal,B2,New,0
Fee,Ücret,B1,New,0
File,Dosya,A2,New,0
Finance,Finans,B2,New,0
Finite,Sonlu / Sınırlı,C1,New,0
Flexible,Esnek,B2,New,0
Fluctuate,Dalgalanmak,C1,New,0
Format,Biçim,B2,New,0
Formula,Formül,B2,New,0
Forthcoming,Yaklaşan / Gelecek,C1,New,0
Foundation,Temel / Vakıf,B2,New,0
Found,Kurmak,B2,New,0
Framework,Çerçeve / İskelet,B2,New,0
Fund,Fon / Sermaye,B2,New,0
Further,Daha ileri,A2,New,0
Generation,Nesil,B2,New,0
Global,Küresel,B2,New,0
Goal,Hedef,A2,New,0
Grade,Not / Derece,B1,New,0
Grant,Hibe etmek / Bağışlamak,B2,New,0
Guarantee,Garanti,B2,New,0
Guideline,Yönerge / Kılavuz,C1,New,0
Hence,Bu nedenle,C1,New,0
Hierarchy,Hiyerarşi,C1,New,0
Highlight,Vurgulamak,B2,New,0
Ideology,İdeoloji,C1,New,0
Ignorant,Cahil / Bilgisiz,B2,New,0
Image,Görüntü / İmaj,A2,New,0
Immigrate,Göç etmek,B2,New,0
Implicate,Bulaştırmak / İma etmek,C1,New,0
Implicit,İma edilen / Üstü kapalı,C1,New,0
Impose,Dayatmak / Koymak (vergi vb.),C1,New,0
Incentive,Teşvik,C1,New,0
Incidence,Vaka / Görülme sıklığı,C1,New,0
Incline,Eğilimi olmak,C1,New,0
Income,Gelir,B2,New,0
Index,Endeks / Dizin,B2,New,0
Induce,Teşvik etmek / Tetiklemek,C1,New,0
Inevitably,Kaçınılmaz olarak,B2,New,0
Infrastructure,Altyapı,C1,New,0
Inhibit,Engel olmak,C1,New,0
Initial,İlk / Başlangıç,B2,New,0
Initiate,Başlatmak,C1,New,0
Injure,Yaralamak,B1,New,0
Innovate,Yenilik yapmak,B2,New,0
Input,Girdi,B2,New,0
Insert,Eklemek / Sokmak,B2,New,0
Insight,İçgörü / Kavrayış,C1,New,0
Inspect,Denetlemek,B2,New,0
Instance,Örnek / Vaka,B2,New,0
Institute,Enstitü / Kurmak,B2,New,0
Instruct,Talimat vermek,B2,New,0
Integral,Tamamlayıcı / Ayrılmaz parça,C1,New,0
Integrate,Entegre etmek / Bütünleştirmek,B2,New,0
Integrity,Bütünlük / Dürüstlük,C1,New,0
Intelligence,Zeka / İstihbarat,B2,New,0
Intense,Yoğun,B2,New,0
Interact,Etkileşim kurmak,B2,New,0
Intermediate,Orta seviye,B1,New,0
Internal,Dahili / İç,B2,New,0
Interval,Aralık (zaman/mesafe),C1,New,0
Intervene,Müdahale etmek / Araya girmek,C1,New,0
Intrinsic,Asıl / Yaradılıştan gelen,C1,New,0
Invest,Yatırım yapmak,B2,New,0
Investigate,Araştırmak / Soruşturmak,B2,New,0
Invoke,Başvurmak / Çağırmak (yasa/ruh),C1,New,0
Involve,İçermek / Kapsamak,B2,New,0
Isolate,İzole etmek / Yalıtmak,B2,New,0
Issue,Sorun / Konu / Sayı (dergi),B2,New,0
Item,Madde / Öğe,A2,New,0
Job,İş,A1,New,0
Journal,Dergi (akademik) / Günlük,B2,New,0
Justify,Haklı çıkarmak / Gerekçelendirmek,B2,New,0
Label,Etiket,B2,New,0
Labour,Emek / İş gücü,B2,New,0
Layer,Katman,B2,New,0
Lecture,Ders / Konferans,B2,New,0
Legal,Yasal,B2,New,0
Legislate,Yasa yapmak,C1,New,0
Levy,Vergi koymak / Toplamak,C1,New,0
Liberal,Liberal / Özgürlükçü,B2,New,0
Licence,Lisans / Ruhsat,B2,New,0
Likewise,Aynı şekilde,C1,New,0
Locate,Yerini belirlemek,B2,New,0
Logic,Mantık,B2,New,0
Major,Ana / Büyük,B2,New,0
Manipulate,Manipüle etmek / Yönlendirmek,C1,New,0
Manual,Manuel / El kitabı,B2,New,0
Margin,Kenar boşluğu / Kar marjı,B2,New,0
Mature,Olgun,B2,New,0
Maximize,En üst düzeye çıkarmak,B2,New,0
Mechanism,Mekanizma,B2,New,0
Media,Medya,B2,New,0
Mediate,Arabuluculuk etmek,C1,New,0
Medical,Tıbbi,B2,New,0
Medium,Orta / Araç (iletişim),B2,New,0
Mental,Zihinsel,B2,New,0
Migrate,Göç etmek,B2,New,0
Military,Askeri,B2,New,0
Minimal,Minimal / En az,B2,New,0
Minimize,En aza indirmek,B2,New,0
Minimum,Minimum,B2,New,0
Ministry,Bakanlık,B2,New,0
Minor,Küçük / Önemsiz,B2,New,0
Mode,Mod / Tarz,B2,New,0
Modify,Değiştirmek,B2,New,0
Monitor,İzlemek / Gözlemlemek,B2,New,0
Motive,Motivasyon / Güdü,B2,New,0
Mutual,Karşılıklı,C1,New,0
Negate,Çürütmek / Olumsuzlamak,C1,New,0
Network,Ağ,B2,New,0
Neutral,Tarafsız / Nötr,B2,New,0
Nevertheless,Yine de / Buna rağmen,B2,New,0
Nonetheless,Yine de,C1,New,0
Norm,Norm / Standart,B2,New,0
Normal,Normal,A2,New,0
Notion,Kavram / Düşünce,C1,New,0
Notwithstanding,Buna rağmen,C1,New,0
Nuclear,Nükleer,B2,New,0
Objective,Nesnel / Hedef,B2,New,0
Obvious,Açık / Belli,B2,New,0
Occupy,İşgal etmek / Meşgul etmek,B2,New,0
Odd,Tuhaf / Tek sayı,B2,New,0
Offset,Dengelemek,C1,New,0
Ongoing,Devam eden,B2,New,0
Option,Seçenek,B2,New,0
Orient,Yönlendirmek,C1,New,0
Output,Çıktı / Üretim,B2,New,0
Overall,Genel / Toplam,B2,New,0
Overlap,Örtüşmek,C1,New,0
Overseas,Yurtdışı,B2,New,0
Panel,Panel / Levha,B2,New,0
Paradigm,Paradigma / Örnek,C1,New,0
Paragraph,Paragraf,A2,New,0
Parallel,Paralel,B2,New,0
Parameter,Parametre / Değişken,C1,New,0
Partner,Ortak,A2,New,0
Passive,Pasif,B2,New,0
Percent,Yüzde,B1,New,0
Period,Dönem,B1,New,0
Persist,Israr etmek / Sürmek,C1,New,0
Perspective,Bakış açısı,B2,New,0
Phase,Evre / Aşama,B2,New,0
Phenomenon,Fenomen / Olay,C1,New,0
Philosophy,Felsefe,B2,New,0
Physical,Fiziksel,B2,New,0
Plus,Artı,B1,New,0
Policy,Politika,B2,New,0
Portion,Porsiyon / Kısım,B2,New,0
Pose,Teşkil etmek (sorun) / Poz vermek,C1,New,0
Practitioner,Uygulayıcı / Doktor,C1,New,0
Precede,Önce gelmek,C1,New,0
Precise,Kesin / Tam,B2,New,0
Predict,Tahmin etmek,B2,New,0
Predominant,Baskın / Hakim,C1,New,0
Preliminary,Ön / Hazırlık niteliğinde,C1,New,0
Presume,Varsaymak,C1,New,0
Prime,Başlıca / En önemli,B2,New,0
Principal,Müdür / Asıl,B2,New,0
Prior,Önceki,B2,New,0
Priority,Öncelik,B2,New,0
Proceed,İlerlemek / Devam etmek,B2,New,0
Professional,Profesyonel,B2,New,0
Prohibit,Yasaklamak,B2,New,0
Project,Proje / Yansıtmak,B1,New,0
Promote,Teşvik etmek / Terfi ettirmek,B2,New,0
Proportion,Oran / Orantı,B2,New,0
Prospect,Olasılık / Beklenti,C1,New,0
Protocol,Protokol,C1,New,0
Psychology,Psikoloji,B2,New,0
Publication,Yayın,B2,New,0
Publish,Yayınlamak,B1,New,0
Purchase,Satın almak,B2,New,0
Pursue,Peşinden gitmek / Sürdürmek,B2,New,0
Qualitative,Nitel,C1,New,0
Quote,Alıntı yapmak,B2,New,0
Radical,Radikal / Köklü,C1,New,0
Random,Rastgele,B2,New,0
Ratio,Oran,C1,New,0
Rational,Rasyonel / Mantıklı,C1,New,0
React,Tepki vermek,B2,New,0
Recover,İyileşmek / Kurtarmak,B2,New,0
Refine,Arıtmak / Geliştirmek,C1,New,0
Regime,Rejim / Yönetim şekli,C1,New,0
Register,Kaydolmak,B2,New,0
Regulate,Düzenlemek,B2,New,0
Reinforce,Güçlendirmek / Takviye etmek,C1,New,0
Reject,Reddetmek,B2,New,0
Relax,Rahatlamak,A2,New,0
Release,Serbest bırakmak / Yayınlamak,B2,New,0
Reluctance,İsteksizlik,C1,New,0
Rely,Güvenmek / Bel bağlamak,B2,New,0
Remove,Kaldırmak,B1,New,0
Research,Araştırma,B1,New,0
Reside,İkamet etmek,C1,New,0
Resolve,Çözmek / Karar vermek,B2,New,0
Restore,Onarmak / Eski haline getirmek,B2,New,0
Restrain,Dizginlemek / Kısıtlamak,C1,New,0
Restrict,Sınırlamak,B2,New,0
Retain,Muhafaza etmek / Korumak,C1,New,0
Reveal,Ortaya çıkarmak,B2,New,0
Revenue,Gelir / Hasılat,C1,New,0
Reverse,Tersine çevirmek,B2,New,0
Review,Gözden geçirmek,B2,New,0
Revise,Revize etmek / Tekrar etmek,B2,New,0
Revolution,Devrim,B2,New,0
Rigid,Sert / Katı (kural vb.),C1,New,0
Role,Rol,B2,New,0
Route,Rota / Güzergah,B2,New,0
Scenario,Senaryo,B2,New,0
Schedule,Program / Takvim,B2,New,0
Scheme,Plan / Tasarı,B2,New,0
Scope,Kapsam,C1,New,0
Section,Bölüm / Kesit,B1,New,0
Sector,Sektör,B2,New,0
Secure,Güvenli / Sağlama almak,B2,New,0
Sequence,Sıra / Dizi,C1,New,0
Series,Dizi / Seri,B2,New,0
Sex,Cinsiyet,A2,New,0
Shift,Vardiye / Değişim,B2,New,0
Simulate,Simüle etmek / Taklit etmek,C1,New,0
Site,Alan / Site,B2,New,0
So-called,Sözde,C1,New,0
Sole,Tek / Yalnız,C1,New,0
Somewhat,Biraz / Bir nevi,C1,New,0
Specify,Belirtmek,B2,New,0
Sphere,Küre / Alan (ilgi alanı),C1,New,0
Stable,İstikrarlı / Sabit,B2,New,0
Statistic,İstatistik,B2,New,0
Status,Statü / Durum,B2,New,0
Straightforward,Basit / Açık,C1,New,0
Stress,Stres / Vurgu,B2,New,0
Style,Tarz / Stil,B1,New,0
Submit,Sunmak / Göndermek,B2,New,0
Subordinate,Alt / İkincil,C1,New,0
Subsequent,Sonraki / Müteakip,C1,New,0
Subsidy,Sübvansiyon / Devlet desteği,C1,New,0
Substitute,Yedek / Yerine geçmek,C1,New,0
Successor,Halef / Yerine gelen,C1,New,0
Sum,Toplam,B1,New,0
Summary,Özet,B2,New,0
Supplement,Takviye / Ek,C1,New,0
Survive,Hayatta kalmak,B2,New,0
Suspend,Askıya almak,B2,New,0
Symbol,Sembol,B2,New,0
Tape,Bant / Kaset,B1,New,0
Target,Hedef,B2,New,0
Task,Görev,B2,New,0
Team,Takım,A2,New,0
Technical,Teknik,B2,New,0
Technique,Teknik,B2,New,0
Technology,Teknoloji,A2,New,0
Temporary,Geçici,B2,New,0
Tension,Gerilim,B2,New,0
Terminate,Sonlandırmak,C1,New,0
Theme,Tema,B2,New,0
Theory,Teori,B2,New,0
Thereby,Böylece / Dolayısıyla,C1,New,0
Thesis,Tez,B2,New,0
Topic,Konu,B1,New,0
Trace,İzini sürmek / İz,B2,New,0
Transform,Dönüştürmek,B2,New,0
Transit,Transit / Geçiş,C1,New,0
Transmit,İletmek / Yaymak,C1,New,0
Transport,Taşımak / Ulaşım,B1,New,0
Trigger,Tetiklemek,C1,New,0
Ultimate,Nihai / Son,C1,New,0
Undergo,Maruz kalmak / Geçirmek,C1,New,0
Underlie,Altında yatmak (sebep olarak),C1,New,0
Undertake,Üstlenmek,C1,New,0
Uniform,Üniforma / Tek tip,C1,New,0
Unify,Birleştirmek,C1,New,0
Unique,Eşsiz,B2,New,0
Utilize,Yararlanmak / Kullanmak,C1,New,0
Vary,Çeşitlilik göstermek,B2,New,0
Vehicle,Araç,B2,New,0
Version,Versiyon / Sürüm,B2,New,0
Via,Aracılığıyla / Yoluyla,B2,New,0
Violate,İhlal etmek,C1,New,0
Virtual,Sanal / Neredeyse,B2,New,0
Visible,Görünür,B2,New,0
Visual,Görsel,B2,New,0
Volume,Hacim / Ses seviyesi,B2,New,0
Welfare,Refah,C1,New,0
Whereas,Oysa / Halbuki,C1,New,0
